budget,category,instance,seed,lns_best_cost_naked,lns_best_cost_common,lns_cost_delta_common_minus_naked,lns_route_count_delta_common_minus_naked,lns_cost_fix_delta_common_minus_naked,a13_best_cost_naked,a13_best_cost_common,a13_cost_delta_common_minus_naked,a13_route_count_delta_common_minus_naked,a13_cost_fix_delta_common_minus_naked
4000,multidepot,e2-multidepot-50c-01,1,1288.1390712046432,1288.1390712046432,0.0,0,0.0,1288.1390712046432,1288.1390712046432,0.0,0,0.0
4000,multidepot,e2-multidepot-50c-01,2,1192.7479646155844,1192.7479646155844,0.0,0,0.0,1192.7479646155844,1192.7479646155844,0.0,0,0.0
4000,multidepot,e2-multidepot-50c-01,3,1219.7934346230413,1219.7934346230413,0.0,0,0.0,1219.7934346230413,1219.7934346230413,0.0,0,0.0
4000,multidepot,e2-multidepot-75c-01,1,2031.5906719071968,2031.5906719071968,0.0,0,0.0,2031.5906719071968,2031.5906719071968,0.0,0,0.0
4000,multidepot,e2-multidepot-75c-01,2,2019.5553444161362,2019.5553444161362,0.0,0,0.0,2019.5553444161362,2019.5553444161362,0.0,0,0.0
4000,multidepot,e2-multidepot-75c-01,3,2062.1369385235994,2062.1369385235994,0.0,0,0.0,2062.1369385235994,2062.1369385235994,0.0,0,0.0
4000,threeshift,e2-threeshift-100c-01,1,2702.079682384095,2702.079682384095,0.0,0,0.0,2702.079682384095,2702.079682384095,0.0,0,0.0
4000,threeshift,e2-threeshift-100c-01,2,2768.271074957225,2768.271074957225,0.0,0,0.0,2768.271074957225,2768.271074957225,0.0,0,0.0
4000,threeshift,e2-threeshift-100c-01,3,2763.9022002300962,2763.9022002300962,0.0,0,0.0,2763.9022002300962,2763.9022002300962,0.0,0,0.0
4000,threeshift,e2-threeshift-150c-01,1,3908.7527003956066,3908.7527003956066,0.0,0,0.0,3908.7527003956066,3908.7527003956066,0.0,0,0.0
4000,threeshift,e2-threeshift-150c-01,2,4002.850420277527,4002.850420277527,0.0,0,0.0,4002.850420277527,4002.850420277527,0.0,0,0.0
4000,threeshift,e2-threeshift-150c-01,3,4059.0358393620645,4059.0358393620645,0.0,0,0.0,4059.0358393620645,4059.0358393620645,0.0,0,0.0
4000,threeshift,e2-threeshift-50c-01,1,1352.8899307919728,1352.8899307919728,0.0,0,0.0,1352.8899307919728,1352.8899307919728,0.0,0,0.0
4000,threeshift,e2-threeshift-50c-01,2,1334.4596675803778,1334.4596675803778,0.0,0,0.0,1334.4596675803778,1334.4596675803778,0.0,0,0.0
4000,threeshift,e2-threeshift-50c-01,3,1352.8899307919728,1352.8899307919728,0.0,0,0.0,1352.8899307919728,1352.8899307919728,0.0,0,0.0
4000,threeshift,e2-threeshift-75c-01,1,1987.6252716039037,1987.6252716039037,0.0,0,0.0,1987.6252716039037,1987.6252716039037,0.0,0,0.0
4000,threeshift,e2-threeshift-75c-01,2,1928.0455806021268,1928.0455806021268,0.0,0,0.0,1928.0455806021268,1928.0455806021268,0.0,0,0.0
4000,threeshift,e2-threeshift-75c-01,3,1945.4259507481493,1945.4259507481493,0.0,0,0.0,1945.4259507481493,1945.4259507481493,0.0,0,0.0
4000,vanilla,e2-vanilla-100c-01,1,2897.948426411168,2897.948426411168,0.0,0,0.0,2897.948426411168,2897.948426411168,0.0,0,0.0
4000,vanilla,e2-vanilla-100c-01,2,2872.139491877431,2872.139491877431,0.0,0,0.0,2872.139491877431,2872.139491877431,0.0,0,0.0
4000,vanilla,e2-vanilla-100c-01,3,2898.297619306196,2898.297619306196,0.0,0,0.0,2898.297619306196,2898.297619306196,0.0,0,0.0
